All episodes rewards:
Episode 45: -462.0 points
Episode 46: -528.5 points
Episode 47: -500.5 points
Episode 48: 279.0 points
Episode 49: 71.0 points
Episode 50: 204.5 points

02_02:

All episodes rewards:
Episode 1: -554.5 points
Episode 2: 47.0 points
Episode 3: -389.5 points
Episode 4: -441.5 points
Episode 5: -424.0 points
Episode 6: 218.0 points
Episode 7: -465.0 points
Episode 8: -263.0 points
Episode 9: -324.5 points
Episode 10: -456.5 points
Episode 11: -431.0 points
Episode 12: -237.5 points
Episode 13: -458.0 points
Episode 14: -358.0 points
Episode 15: 211.5 points
Episode 16: 354.0 points
Episode 17: -488.0 points
Episode 18: -542.5 points
Episode 19: -541.0 points
Episode 20: -217.0 points
Episode 21: -395.0 points
Episode 22: -310.5 points
Episode 23: -520.5 points
Episode 24: 217.5 points
Episode 25: -441.5 points
Episode 26: -391.5 points
Episode 27: -466.0 points
Episode 28: 163.0 points
Episode 29: -364.5 points
Episode 30: -468.0 points
Episode 31: -557.0 points
Episode 32: -440.5 points
Episode 33: -520.0 points
Episode 34: 246.0 points
Episode 35: -322.5 points
Episode 36: -463.5 points
Episode 37: -328.0 points
Episode 38: -324.5 points
Episode 39: 136.5 points
Episode 40: 92.0 points
Episode 41: 243.5 points
Episode 42: -299.0 points
Episode 43: -431.5 points
Episode 44: -296.0 points
Episode 45: -355.5 points
Episode 46: -303.0 points
Episode 47: -341.0 points
Episode 48: -408.0 points
Episode 49: 319.0 points
Episode 50: 160.5 points

03.03:
All episodes rewards:
Episode 1: -524.5 points
Episode 2: -240.5 points
Episode 3: -307.5 points
Episode 4: -413.0 points
Episode 5: -624.5 points
Episode 6: -298.5 points
Episode 7: -344.5 points
Episode 8: 208.5 points
Episode 9: -220.5 points
Episode 10: 292.5 points
Episode 11: -249.5 points
Episode 12: 230.5 points
Episode 13: -492.0 points
Episode 14: -363.0 points
Episode 15: -507.5 points
Episode 16: -360.5 points
Episode 17: -369.5 points
Episode 18: -598.5 points
Episode 19: -294.0 points
Episode 20: -513.5 points
Episode 21: -420.5 points
Episode 22: -534.5 points
Episode 23: -318.5 points
Episode 24: -369.0 points
Episode 25: 242.0 points
Episode 26: -418.0 points
Episode 27: -561.0 points
Episode 28: -335.5 points
Episode 29: -420.5 points
Episode 30: 302.5 points
